,Ticker,DCF_Value,Market_Cap,Current_Price,DCF_MarketCap_Ratio,Theoretical_Price,Symbol,Security,GICS Sector,GICS Sub-Industry
36,USB,233918679270.05292,66313326067.89,42.69,3.527476197326802,150.58795886388117,USB,U.S. Bancorp,Financials,Diversified Banks
37,L,52569856068.288414,15112788261.48,88.27,3.478501462386017,307.04732408481374,L,Loews Corporation,Financials,Multi-line Insurance
38,HIG,121082113293.25113,35461592705.39,125.53,3.414457841732732,428.61689287270985,HIG,Hartford (The),Financials,Property & Casualty Insurance
39,ABNB,183855067395.0363,55338050446.75,133.37,3.322398709581466,443.1083158968802,ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
40,GPN,57384856274.53276,18373813580.0,76.0,3.1231870305354845,237.36221432069684,GPN,Global Payments,Financials,Transaction & Payment Processing Services
41,AMP,146595337911.58368,48094384288.6,506.74,3.048075988080208,1544.5820261997646,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks
42,PGR,468500101309.5447,155219521197.33,265.77,3.018306574428498,802.1753382858618,PGR,Progressive Corporation,Financials,Property & Casualty Insurance
43,VLO,131678795557.81122,44187432032.03001,141.77,2.9800056147721286,422.4753960062447,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing
44,CINF,66364847369.930176,22274580025.06,145.27,2.979398367792634,432.81720088923595,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance
45,SLB,140194910216.53165,48898945282.0,36.08,2.867033417756318,103.44256571264796,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services
46,EXR,88296892967.75368,31000356328.959995,147.89,2.8482541307200475,421.2283033921878,EXR,Extra Space Storage,Real Estate,Self-Storage REITs
47,CI,235620581635.90472,83084006415.63,312.51,2.8359318694527844,886.2570685226897,CI,Cigna,Health Care,Health Care Services
48,IVZ,14648020833.023079,5199918560.76,14.52,2.8169712009647667,40.902421838008415,IVZ,Invesco,Financials,Asset Management & Custody Banks
49,UBER,495246940506.5255,176277864706.84,84.76,2.8094675490320298,238.13046945595485,UBER,Uber,Industrials,Passenger Ground Transportation
50,CAG,28371861280.42903,10225129639.7,21.55,2.77471897962767,59.795194010976296,CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats
